Brand	Formulation	Caffeine
Pepsi	Sugar	43.52
Pepsi	Sugar	41.4
Pepsi	Sugar	36.32
Pepsi	Sugar	39.5
Pepsi	Sugar	36.19
Pepsi	Sugar	39.13
Pepsi	Sugar	42.18
Pepsi	Sugar	34.61
Pepsi	Sugar	43.86
Pepsi	Sugar	37.21
Pepsi	Sugar	35.08
Pepsi	Sugar	40.47
Pepsi	Sugar	34.01
Pepsi	Sugar	36.32
Pepsi	Sugar	41.36
Pepsi	Sugar	37.44
Pepsi	Sugar	39.93
Pepsi	Sugar	42.86
Pepsi	Sugar	36.31
Pepsi	Sugar	42.28
Pepsi	Sugar	33.24
Pepsi	Sugar	39.01
Pepsi	Sugar	42.16
Pepsi	Sugar	39.66
Pepsi	Sugar	36.54
Pepsi	Sugar	37.82
Pepsi	Sugar	38.6
Pepsi	Sugar	34.27
Pepsi	Sugar	36.43
Pepsi	Sugar	37.85
Pepsi	Sugar	36.79
Pepsi	Sugar	38.88
Pepsi	Sugar	35.66
Pepsi	Sugar	37.97
Pepsi	Sugar	34.88
Pepsi	Sugar	36.8
Pepsi	Sugar	36.22
Pepsi	Sugar	38.47
Pepsi	Sugar	33.46
Pepsi	Sugar	36.14
Pepsi	Sugar	34.26
Pepsi	Sugar	35.01
Pepsi	Sugar	33.23
Pepsi	Sugar	39.32
Pepsi	Sugar	40.35
Pepsi	Sugar	32.61
Pepsi	Sugar	37.1
Pepsi	Sugar	32.73
Pepsi	Sugar	34.26
Pepsi	Sugar	33.79
Pepsi	Sugar	35.68
Pepsi	Sugar	34.15
Pepsi	Sugar	33.57
Pepsi	Sugar	35.74
Pepsi	Sugar	34.46
Pepsi	Sugar	39.01
Pepsi	Sugar	34.36
Pepsi	Sugar	35.88
Pepsi	Sugar	34.38
Pepsi	Diet	32.79
Pepsi	Diet	35.03
Pepsi	Diet	32.83
Pepsi	Diet	31.78
Pepsi	Diet	35.54
Pepsi	Diet	33.69
Pepsi	Diet	36.92
Pepsi	Diet	33.57
Pepsi	Diet	30.83
Pepsi	Diet	34.02
Pepsi	Diet	50.74
Pepsi	Diet	39.39
Pepsi	Diet	44.21
Pepsi	Diet	50.82
Pepsi	Diet	37.49
Pepsi	Diet	48.98
Pepsi	Diet	39.87
Pepsi	Diet	36.51
Pepsi	Diet	48.27
Pepsi	Diet	44.71
Pepsi	Diet	45.19
Pepsi	Diet	35.54
Pepsi	Diet	41.5
Pepsi	Diet	52.54
Pepsi	Diet	36.1
Pepsi	Diet	39.59
Pepsi	Diet	44.5
Pepsi	Diet	34.54
Pepsi	Diet	31.18
Pepsi	Diet	29.32
Pepsi	Diet	35.69
Pepsi	Diet	32.97
Pepsi	Diet	36.1
Pepsi	Diet	33.44
Pepsi	Diet	32.08
Pepsi	Diet	34.83
Pepsi	Diet	37.6
Pepsi	Diet	32.12
Pepsi	Diet	35.39
Pepsi	Diet	31.78
Pepsi	Diet	40.25
Pepsi	Diet	40.07
Pepsi	Diet	40.1
Pepsi	Diet	38.27
Pepsi	Diet	40.11
Pepsi	Diet	38.32
Pepsi	Diet	39.07
Pepsi	Diet	41.06
Pepsi	Diet	38.56
Pepsi	Diet	37.19
Pepsi	Diet	35.53
Pepsi	Diet	33.85
Pepsi	Diet	32.98
Pepsi	Diet	29.24
Pepsi	Diet	31.87
Pepsi	Diet	31.86
Pepsi	Diet	32.24
Pepsi	Diet	33.11
Pepsi	Diet	32.05
Pepsi	Diet	34.27
Pepsi	Diet	39.82
Pepsi	Diet	38.06
Pepsi	Diet	39.13
Pepsi	Diet	33.11
Pepsi	Diet	36.85
Pepsi	Diet	35.64
Pepsi	Diet	39.09
Pepsi	Diet	39.85
Pepsi	Diet	34.87
Pepsi	Diet	38.57
